year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
1942	53	38	61	85	85	84	94	94	85	83	61	33	94
1943	37	41	62	78	81	93	95	92	83	85	53	49	95
1944	53	40	50	67	86	91	90	98	84	78	63	40	98
1945	37	38	72	70	78	92	96	98	96	82	55	44	98
1946	29	38	78	82	86	90	94	98	83	78	63	38	98
1947	46	43	58	82	81	86	97	105	99	89	51	34	105
1948	37	33	48	76	92	94	101	100	95	78	54	43	101
1949	40	32	41	85	88	94	98	101	86	79	65	40	101
1950	27	34	42	68	87	99	94	95	91	78	68	37	99
1951	38	38	43	79	86	85	93	94	85	84	48	42	94
1952	40	38	44	90	92	98	95	97	96	72	63	40	98
1953	38	41	53	73	86	91	95	98	89	90	73	40	98
1954	36	43	49	77	83	92	99	93	86	70	68	40	99
1955	35	36	60	82	93	91	97	99	91	86	56	36	99
1956	36	34	46	69	83	99	88	95	92	84	62	49	99
1957	36	40	60	85	84	86	98	93	83	80	54	45	98
1958	49	66	57	80	91	90	93	101	87	83	63	42	101
1959	33	38	58	78	97	99	98	100	102	75	45	45	102
1960	38	38	48	76	88	89	100	94	99	83	58	38	100
1961	39	46	67	72	90	95	95	99	91	89	59	41	99
1962	40	40	43	88	87	91	86	97	89	86	59	57	97
1963	44	51	77	79	88	96	99	97	88	93	62	43	99
1964	46	48	56	81	98	98	96	96	90	80	67	31	98
1965	30	40	38	84	86	88	93	100	78	74	70	49	100
1966	23	37	60	70	87	96	95	91	89	85	47	41	96
1967	37	42	78	65	86	89	93	94	88	83	60	52	94
1968	39	33	73	85	86	97	95	99	89	80	54	37	99
1969	32	35	37	69	95	77	95	95	89	71	61	53	95
1970	33	38	42	75	87	95	98	96	93	84	54	41	98
1971	32	39	59	80	86	90	87	96	95	70	56	36	96
1972	38	36	52	70	91	92	96	95	91	78	54	33	96
1973	38	40	60	78	82	92	95	96	77	74	59	35	96
1974	32	40	43	78	81	91	99	90	90	83	59	46	99
1975	36	35	52	60	82	86	100	90	83	87	70	46	100
1976	36	51	58	83	85	95	100	106	99	85	59	44	106
1977	30	46	60	85	90	91	97	82	82	72	57	35	97
1978	29	32	58	71	86	87	94	96	99	79	73	36	99
1979	24	29	39	64	87	95	92	94	98	69	52	46	98
1980	39	31	51	100	93	91	102	93	92	85	59	43	102
1981	52	53	66	77	84	80	94	92	89	69	66	35	94
1982	35	38	45	83	87	91	94	102	90	69	50	55	102
1983	36	50	47	75	78	93	98	100	97	75	60	22	100
1984	40	43	50	71	90	87	92	102	96	76	57	50	102
1985	35	51	56	87	89	88	98	86	79	68	58	38	98
1986	44	37	76	77	93	93	91	90	77	73	57	43	93
1987	49	48	60	90	95	96	101	93	87	79	60	38	101
1988	36	44	51	81	92	98	106	104	86	80	53	40	106
1989	40	37	48	77	86	93	103	100	89	83	60	40	103
1990	47	48	62	91	84	92	92	96	94	80	74	56	96
1991	39	51	61	82	91	95	94	96	93	81	49	40	96
1992	43	55	58	94	93	89	89	91	82	90	45	39	94
1993	41	37	54	71	89	89	89	96	85	90	52	39	96
1994	21	41	53	86	90	92	87	89	90	72	56	45	92
1995	36	41	62	61	83	100	92	96	91	81	49	39	100
1996	41	43	45	66	83	94	89	94	93	79	61	33	94
1997	41	40	47	69	84	92	91	93	85	89	43	39	93
1998	36	47	56	82	84	86	94	93	97	71	54	48	97
1999	38	45	66	77	92	92	95	93	82	74	71	52	95
2000	39	51	67	74	96	93	91	95	89	72	67	35	96
2001	41	34	42	85	90	95	95	95	95	81	69	42	95
2002	51	55	54	89	89	98	97	87	95	71	64	48	98
2003	40	37	73	89	86	89	90	97	93	86	51	40	97
2004	33	40	59	91	84	88	90	85	93	81	60	45	93
2005	38	43	67	87	80	95	93	92	91	86	64	39	95
2006	40	34	53	79	97	92	102	87	89	84	72	50	102
2007	38	42	66	80	88	94	99	92	96	87	61	33	99
2008	38	35	45	68	84	87	91	90	92	74	69	41	92
2009	44	39	53	82	86	90	88	95	86	62	60	36	95
2010	36	33	68	77	95	86	94	92	75	84	66	36	95
2011	37	44	42	70	85	98	95	90	91	89	59	55	98
2012	55	47	78	77	96	96	100	96	91	77	59	50	100
2013	43	32	42	73	93	89	95	96	92	75	61	40	96
2014	40	41	58	79	93	89	93	88	87	78	57	47	93
2015	46	36	75	82	87	92	91	96	93	97	67	46	97
2016	40	55	70	74	91	91	92	91	84	79	73	39	92
